,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm
0,CHEMBL105460,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnnc2-c2ccccc2)c2ccccc2)CC1,active,335.0,595.7040000000003,5.7114000000000065,0.0,9.0,335.0
1,CHEMBL105606,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cncn2)c2ccccc2)CC1,active,28.0,518.6180000000003,4.649400000000004,0.0,8.0,28.0
2,CHEMBL105570,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,active,10.0,581.7170000000003,6.581700000000008,0.0,7.0,10.0
3,CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,active,35.0,557.1810000000003,5.289400000000006,0.0,4.0,35.0
4,CHEMBL325357,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2ncc3ccccc32)c2ccccc2)CC1,active,15.0,567.6900000000003,6.407600000000007,0.0,7.0,15.0
5,CHEMBL105572,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(Cl)c2Cl)c2ccccc2)CC1,active,16.0,586.5200000000003,6.5612000000000075,0.0,7.0,16.0
6,CHEMBL107750,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(CC#N)c2)c2ccccc2)CC1,active,15.0,556.6670000000003,5.320480000000005,0.0,8.0,15.0
7,CHEMBL105659,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,active,112.0,536.7200000000001,6.673500000000008,0.0,5.0,112.0
8,CHEMBL107380,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,active,10.0,610.7550000000001,6.748800000000008,0.0,6.0,10.0
9,CHEMBL104793,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,active,7.0,633.7930000000001,6.093900000000006,2.0,5.0,7.0
10,CHEMBL106231,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cc3ccccc3n2)c2ccccc2)CC1,active,27.0,567.6900000000003,6.4076000000000075,0.0,7.0,27.0
11,CHEMBL321539,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,active,246.0,550.7470000000002,7.061800000000009,0.0,5.0,246.0
12,CHEMBL322439,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc([N+](=O)[O-])c2)c2ccccc2)CC1,active,15.0,562.6270000000003,5.162600000000005,0.0,9.0,15.0
13,CHEMBL104474,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,active,25.0,522.6930000000002,6.499400000000008,0.0,5.0,25.0
14,CHEMBL319622,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,active,48.0,595.7440000000004,6.970000000000009,0.0,7.0,48.0
15,CHEMBL104867,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(c2ccccc2)C2Nc3ccccc3S(=O)(=O)N2)CC1,active,55.0,588.7740000000001,5.353700000000004,2.0,6.0,55.0
16,CHEMBL104867,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(c2ccccc2)C2Nc3ccccc3S(=O)(=O)N2)CC1,active,18.0,588.7740000000001,5.353700000000004,2.0,6.0,18.0
17,CHEMBL104464,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnc(-c3ccccc3)n2)c2ccccc2)CC1,active,111.0,595.7040000000003,5.7114000000000065,0.0,9.0,111.0
18,CHEMBL106803,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,active,4.0,567.6900000000003,6.407600000000007,0.0,7.0,4.0
19,CHEMBL107380,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,active,18.0,610.7550000000001,6.748800000000008,0.0,6.0,18.0
20,CHEMBL320365,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(-c3ccccc3)c2)c2ccccc2)CC1,active,23.0,593.7280000000003,6.921400000000008,0.0,7.0,23.0
21,CHEMBL61536,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,active,2.0,512.6980000000003,5.102740000000004,0.0,4.0,2.0
22,CHEMBL61536,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,active,5.1,512.6980000000003,5.102740000000004,0.0,4.0,5.1
23,CHEMBL61536,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,active,14.9,512.6980000000003,5.102740000000004,0.0,4.0,14.9
24,CHEMBL61536,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,active,14.9,512.6980000000003,5.102740000000004,0.0,4.0,14.9
25,CHEMBL61374,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,8.5,559.7579999999999,7.0578400000000086,0.0,5.0,8.5
26,CHEMBL61374,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,active,23.0,559.7579999999999,7.0578400000000086,0.0,5.0,23.0
